trip_id,year,month,day,hour,min,sec,long,latt,Pk_mrng,Pk_evng,off_peak,miday,day,dist_km,time,diff_time,time_hr,spd_mph,Season,wk,atemp,rain,snow,mtemp,mintem,mgust,mrh,wcl,hi,rd_type,AADT,bll,ctl,spl,swl,mpr,rcyrd,npoi,RCI,nbstp,dbstp,LUI,BI,com,res,cigr,pw,oth,dint,nbr,dhmp,dcbd,duc,uc,dpark,dwater,dhvn,dwden,popden,empden,SWT,SPT,CTT,BLT,dshop,dgovt,drec,dpebu,dscho,dfood,dreta
0014c5d9-5b35-4a65-9d41-a755db8b90a5,2018,7,22,6,24,28,-119.4867592,49.85123929,1,0,0,0,1,0.612,0.267,0.003,0.076,4.97,1,1,20.9,0,0,24.2,6.3,44,72,26.24,26.23,1,186.89,0.42744,0,0.15855,0.25447,0.646,2.45,0,1.5,2,0.03871,0.72,0.49,0.0018,0.0295,0.0061,0.0203,0.0017,0.05276,0,2.87162,4.559,0.41289,0,0.54645,0.93646,0.06998,7.68,32.969,8.3,0,0,0,1,1.16943,0.28694,0.70409,0.37328,0.52374,0.50338,0.72581
0014c5d9-5b35-4a65-9d41-a755db8b90a5,2018,7,22,6,25,27,-119.4879601,49.85286135,1,0,0,0,1,0.224,0.268,0.001,0.016,8.483,1,1,20.9,0,0,24.2,6.3,44,72,26.24,26.23,1,186.89,0,0,0,0,0.469,0,0,3,0,0.16937,0.25,0.28,0,0.0463,0,0.0013,0.0045,0.15681,0,2.66205,4.34943,0.20331,0,0.68396,1.14603,0.15861,11.84,12.478,2,0,0,0,1,0.95986,0.49651,0.61362,0.49675,0.62778,0.45691,0.51624
0014c5d9-5b35-4a65-9d41-a755db8b90a5,2018,7,22,6,25,59,-119.488785,49.85364253,1,0,0,0,1,0.126,0.268,0,0.009,8.805,1,1,20.9,0,0,24.2,6.3,44,72,26.24,26.23,1,186.89,0,0,0.07493,0.01152,0.714,0,0,0,0,0.13905,0.36,0.31,0.0001,0.0144,0,0.0477,0.0003,0.08372,0,2.54282,4.2302,0.08408,0,0.80319,1.26526,0.03938,1.28,12.478,2,0,1,0,0,0.84063,0.4654,0.49439,0.37752,0.71453,0.33768,0.39701
0014c5d9-5b35-4a65-9d41-a755db8b90a5,2018,7,22,6,27,0,-119.4902147,49.85518698,1,0,0,0,1,0.234,0.269,0.001,0.017,8.556,1,1,20.9,0,0,24.2,6.3,44,72,26.24,26.23,1,91,0.77406,0,0.36176,0.59524,0.704,2.52,0,2,2,0.03887,0.69,0.61,0.0007,0.0085,0.0013,0.0317,0.0269,0.01302,0,2.3649,4.05228,0.09383,1,0.9761,1.44318,0.00216,0.8,24.812,1.85,0,0,0,1,0.66271,0.28748,0.31647,0.19961,0.70921,0.15976,0.21909
0014c5d9-5b35-4a65-9d41-a755db8b90a5,2018,7,22,6,28,4,-119.4911514,49.85688623,1,0,0,0,1,0.216,0.269,0.001,0.018,7.519,1,1,20.9,0,0,24.2,6.3,44,72,26.24,26.23,1,136.5,0.76291,0,0.12089,0.69628,0.827,1.54,77,2,2,0.02202,0.74,0.51,0.0234,0.0075,0.0038,0,0.0124,0.13087,0,2.14267,3.83005,0.31606,1,1.19832,1.6654,0.06261,2.88,41.972,2.3,0,0,0,1,0.44048,0.33326,0.31003,0.00937,0.65436,0.06246,0.31003
0014c5d9-5b35-4a65-9d41-a755db8b90a5,2018,7,22,6,29,10,-119.4911261,49.85869025,1,0,0,0,1,0.2,0.27,0.001,0.018,6.779,1,1,20.9,0,0,24.2,6.3,44,72,26.24,26.23,1,136.5,0.76291,0,0.12089,0.69628,0.827,1.54,77,2,2,0.09903,0.74,0.51,0.0234,0.0075,0.0038,0,0.0124,0.03599,0,1.97582,3.6632,0.45738,1,1.14996,1.83226,0.0944,2.88,41.972,2.3,1,0,0,0,0.27363,0.1664,0.21515,0.00911,0.55948,0.00911,0.18538
0014c5d9-5b35-4a65-9d41-a755db8b90a5,2018,7,22,6,30,14,-119.4911082,49.86051256,1,0,0,0,1,0.202,0.271,0.001,0.018,7.062,1,1,20.9,0,0,24.2,6.3,44,72,26.24,26.23,2,0,0.41792,0,0,1.03715,0.936,0.65,126,3.5,3,0.04244,0.35,0.45,0.0382,0.0051,0,0,0.0028,0.13372,0,1.71676,3.40414,0.71644,1,1.40902,2.09131,0.04309,4.96,41.972,2.3,0,0,0,1,0.01458,0.09265,0.01458,0.01458,0.30739,0.01458,0.01458
0014c5d9-5b35-4a65-9d41-a755db8b90a5,2018,7,22,6,31,38,-119.4911698,49.86232982,1,0,0,0,1,0.202,0.272,0.001,0.023,5.368,1,1,20.9,0,0,24.2,6.3,44,72,26.24,26.23,1,150.94,0.41792,0,0,1.03715,0.936,0.65,126,3.5,3,0.01671,0.35,0.45,0.0382,0.0051,0,0,0.0028,0.01778,0,1.56527,3.25265,0.57398,1,1.52569,2.24281,0.08189,4.96,21.623,3.3,1,0,0,0,0.13692,0.0667,0.0471,0.06108,0.15589,0.0471,0.03623
0017facc-60ca-48e3-92ba-b5b6480a990d,2018,8,11,22,14,27,-119.4969608,49.88749734,0,0,1,0,0,0.272,0.927,0.002,0.052,3.233,1,1,23.6,0,0,34.3,13.7,37,62,38.68,44.51,2,32,0,0,0,1.81263,1.853,0,125,3.25,8,0.05274,0.48,0.51,0.0286,0.001,0.0068,0.0011,0.0006,0.0238,0,0.75166,0.36155,0.61476,1,0.67712,1.12272,0.07518,3.04,16.553,9.5,1,0,0,0,0.10673,0.10673,0.05197,0.03496,0.10673,0.06925,0.10673
0017facc-60ca-48e3-92ba-b5b6480a990d,2018,8,11,22,15,6,-119.4982437,49.88714039,0,0,1,0,0,0.148,0.927,0,0.011,8.468,1,1,23.6,0,0,34.3,13.7,37,62,38.68,44.51,2,32,0.12524,0,0.20074,0.67321,0.741,1.09,34,2,0,0.12721,0.77,0.48,0.0148,0,0.023,0.0406,0.0093,0,0,0.82612,0.43601,0.68923,1,0.75158,1.19718,0.14964,1.76,16.553,9.5,1,0,0,0,0.18119,0.18119,0.12644,0.10943,0.18119,0.14372,0.18119
0017facc-60ca-48e3-92ba-b5b6480a990d,2018,8,11,22,16,10,-119.4991933,49.88646666,0,0,1,0,0,0.129,0.928,0.001,0.018,4.512,1,1,23.6,0,0,34.3,13.7,37,62,38.68,44.51,1,74.49,0.12524,0,0.20074,0.67321,0.741,1.09,34,2,0,0.312,0.77,0.48,0.0148,0,0.023,0.0406,0.0093,0.03872,0,0.52928,0.6208,0.30791,1,0.40278,0.81587,0.02729,1.76,16.553,9.5,1,0,0,0,0.36598,0.18916,0.08735,0.03242,0.27038,0.01535,0.00573
0017facc-60ca-48e3-92ba-b5b6480a990d,2018,8,11,22,17,13,-119.4995097,49.88649717,0,0,1,0,0,0.035,0.929,0.001,0.018,1.251,1,1,23.6,0,0,34.3,13.7,37,62,38.68,44.51,1,74.49,0.12524,0,0.20074,0.67321,0.741,1.09,34,2,0,0.33545,0.77,0.48,0.0148,0,0.023,0.0406,0.0093,0.01527,4,0.50583,0.64426,0.28446,1,0.37933,0.79241,0.00384,1.76,16.553,9.5,0,0,0,0,0.38943,0.18812,0.1108,0.05587,0.29383,0.0081,0.01369
0017facc-60ca-48e3-92ba-b5b6480a990d,2018,8,11,22,18,57,-119.4988186,49.88657352,0,0,1,0,0,0.077,0.93,0.001,0.029,1.658,1,1,23.6,0,0,34.3,13.7,37,62,38.68,44.51,1,74.49,0.12524,0,0.20074,0.67321,0.741,1.09,34,2,0,0.29176,0.77,0.48,0.0148,0,0.023,0.0406,0.0093,0.05713,0,0.54952,0.60056,0.32816,1,0.42303,0.83611,0.04642,1.76,16.553,9.5,1,0,0,0,0.34574,0.16891,0.0671,0.01217,0.25013,0.00262,0.02598
0017facc-60ca-48e3-92ba-b5b6480a990d,2018,8,11,22,22,31,-119.4992303,49.8863246,0,0,1,0,0,0.053,0.932,0.002,0.059,0.558,1,1,23.6,0,0,34.3,13.7,37,62,38.68,44.51,1,74.49,0.12524,0,0.20074,0.67321,0.741,1.09,34,2,0,0.32556,0.77,0.48,0.0148,0,0.023,0.0406,0.0093,0.02517,4,0.51572,0.63436,0.29435,1,0.38922,0.80231,0.01374,1.76,16.553,9.5,0,0,0,0,0.37954,0.19802,0.1009,0.04598,0.28393,0.00179,0.00379
0017facc-60ca-48e3-92ba-b5b6480a990d,2018,8,11,22,23,18,-119.4992934,49.88636405,0,0,1,0,0,0.008,0.933,0.001,0.013,0.393,1,1,23.6,0,0,34.3,13.7,37,62,38.68,44.51,1,74.49,0.12524,0,0.20074,0.67321,0.741,1.09,34,2,0,0.33051,0.77,0.48,0.0148,0,0.023,0.0406,0.0093,0.02022,4,0.51077,0.63931,0.28941,1,0.38427,0.79736,0.00879,1.76,16.553,9.5,0,0,0,0,0.38449,0.19307,0.10585,0.05092,0.28888,0.00316,0.00874
0017facc-60ca-48e3-92ba-b5b6480a990d,2018,8,11,22,24,2,-119.4992439,49.88629961,0,0,1,0,0,0.009,0.933,0.001,0.012,0.458,1,1,23.6,0,0,34.3,13.7,37,62,38.68,44.51,1,74.49,0.12524,0,0.20074,0.67321,0.741,1.09,34,2,0,0.32556,0.77,0.48,0.0148,0,0.023,0.0406,0.0093,0.02517,4,0.51572,0.63436,0.29435,1,0.38922,0.80231,0.01374,1.76,16.553,9.5,0,0,0,0,0.37954,0.19802,0.1009,0.04598,0.28393,0.00179,0.00379
0017facc-60ca-48e3-92ba-b5b6480a990d,2018,8,11,22,24,11,-119.4992439,49.88629961,0,0,1,0,0,0,0.933,0,0.003,0,1,1,23.6,0,0,34.3,13.7,37,62,38.68,44.51,1,74.49,0.12524,0,0.20074,0.67321,0.741,1.09,34,2,0,0.32556,0.77,0.48,0.0148,0,0.023,0.0406,0.0093,0.02517,4,0.51572,0.63436,0.29435,1,0.38922,0.80231,0.01374,1.76,16.553,9.5,0,0,0,0,0.37954,0.19802,0.1009,0.04598,0.28393,0.00179,0.00379
0017facc-60ca-48e3-92ba-b5b6480a990d,2018,8,11,22,24,31,-119.4991842,49.88614751,0,0,1,0,0,0.018,0.934,0,0.006,2.026,1,1,23.6,0,0,34.3,13.7,37,62,38.68,44.51,1,74.49,0.12524,0,0.20074,0.67321,0.741,1.09,34,2,0,0.33051,0.77,0.48,0.0148,0,0.023,0.0406,0.0093,0.02022,4,0.51077,0.63931,0.28941,1,0.38427,0.79736,0.00879,1.76,16.553,9.5,0,0,0,0,0.38449,0.19307,0.10585,0.05092,0.28888,0.00316,0.00874
0017facc-60ca-48e3-92ba-b5b6480a990d,2018,8,11,22,24,33,-119.4992703,49.88637441,0,0,1,0,0,0.027,0.934,0,0.001,30.093,1,1,23.6,0,0,34.3,13.7,37,62,38.68,44.51,1,74.49,0.12524,0,0.20074,0.67321,0.741,1.09,34,2,0,0.32556,0.77,0.48,0.0148,0,0.023,0.0406,0.0093,0.02517,4,0.51572,0.63436,0.29435,1,0.38922,0.80231,0.01374,1.76,16.553,9.5,0,0,0,0,0.37954,0.19802,0.1009,0.04598,0.28393,0.00179,0.00379
0017facc-60ca-48e3-92ba-b5b6480a990d,2018,8,11,22,24,47,-119.4992865,49.88679577,0,0,1,0,0,0.047,0.934,0,0.004,7.47,1,1,23.6,0,0,34.3,13.7,37,62,38.68,44.51,1,74.49,0.12524,0,0.20074,0.67321,0.741,1.09,34,2,0,0.312,0.77,0.48,0.0148,0,0.023,0.0406,0.0093,0.03872,0,0.52928,0.6208,0.30791,1,0.40278,0.81587,0.02729,1.76,16.553,9.5,1,0,0,0,0.36598,0.18916,0.08735,0.03242,0.27038,0.01535,0.00573
